Metric,Mean,Std_Dev,Min,Max,Median,CI_Lower,CI_Upper,Skewness,Kurtosis,Is_Normal,Sample_Size,Outliers_Count
Overall_Score,0.9053973331899847,0.0853413068299038,0.7263551222506944,0.9859999999999989,0.9241943432036291,0.8791237556271151,0.9320549977449759,-0.9148879759564114,-0.15193329907372322,False,40,5
SEC_Classification,0.8825,0.10047961905856248,0.6200000000000001,0.9199999999999999,0.9199999999999999,0.8524999999999998,0.9125,-2.267786838055364,3.1428571428571423,False,40,0
Pattern_Assembly,0.9625,0.10047961905856255,0.7,1.0,1.0,0.925,0.9925,-2.2677868380553647,3.142857142857145,False,40,0
Emergence_Consistency,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,True,40,0
Phase1_Readiness,0.9682846291885211,0.06784508656282645,0.7930331530154495,1.0,1.0,0.9464149307437427,0.9876479805536427,-2.170835945060528,2.885799314985592,False,40,0
Execution_Time,0.009314233064651489,0.011345059144568797,0.0009992122650146484,0.03425002098083496,0.00330507755279541,0.006152933239936828,0.012628214061260223,1.2011400664300527,-0.22534571036353102,False,40,10
Memory_Usage,0.00908203125,0.022903701920730584,0.0,0.109375,0.0,0.0033203125,0.01689453125,3.1304664158304165,9.265077002939414,False,40,0
Total_Patterns,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,True,40,0
Pattern_Confidence,0.770343824331132,0.23563214566264684,0.47657134582569977,0.9999999999999997,0.8102433325264735,0.6987616721902399,0.8386555560440984,-0.07387723779531385,-1.9070013442491764,False,40,0
Emergence_Strength,0.6103814064888047,0.30874227199202686,0.26649365552461723,1.0,0.5717000995098055,0.5151678796386285,0.7061258582957679,0.12489295388616443,-1.7919042388330582,False,40,0
