exp_19 Phase 8 n=22 workers=8 start 20260903_133944
  ~100000 trees, 1962 survivors [57s]
  ~200000 trees, 3624 survivors [113s]
  ~300000 trees, 5303 survivors [169s]
  ~400000 trees, 6786 survivors [226s]
  ~500000 trees, 8492 survivors [288s]
  ~600000 trees, 9638 survivors [342s]
  ~700000 trees, 11011 survivors [441s]
  ~800000 trees, 12350 survivors [575s]
  ~900000 trees, 13848 survivors [642s]
  ~1000000 trees, 15288 survivors [777s]
  ~1100000 trees, 16301 survivors [890s]
  ~1200000 trees, 17895 survivors [1047s]
  ~1300000 trees, 19226 survivors [1205s]
  ~1400000 trees, 20418 survivors [1349s]
  ~1500000 trees, 21866 survivors [1489s]
  ~1600000 trees, 22803 survivors [1583s]
  ~1700000 trees, 24211 survivors [1673s]
  ~1800000 trees, 25444 survivors [1770s]
  ~1900000 trees, 26922 survivors [1866s]
  ~2000000 trees, 28661 survivors [1950s]
  ~2100000 trees, 29543 survivors [2038s]
  ~2200000 trees, 30438 survivors [2128s]
  ~2300000 trees, 31592 survivors [2217s]
  ~2400000 trees, 32754 survivors [2332s]
  ~2500000 trees, 34133 survivors [2434s]
  ~2600000 trees, 35487 survivors [2504s]
  ~2700000 trees, 36718 survivors [2574s]
  ~2800000 trees, 37622 survivors [2647s]
  ~2900000 trees, 39106 survivors [2718s]
  ~3000000 trees, 40447 survivors [2792s]
  ~3100000 trees, 41422 survivors [2862s]
  ~3200000 trees, 42239 survivors [2937s]
  ~3300000 trees, 43414 survivors [3043s]
  ~3400000 trees, 44912 survivors [3174s]
  ~3500000 trees, 46349 survivors [3311s]
  ~3600000 trees, 47607 survivors [3453s]
  ~3700000 trees, 48749 survivors [3605s]
