n=4 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=8 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=8 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=12 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=12 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=12 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=12 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
n=16 defect (0, 1) side: copy  (sum d_v s_v = 2)
defect edge copy-internal: 20 folds, all: True
DONE
