fold 1/47 det=-59 defect=(0, 1) [1s]
fold 2/47 det=1 defect=(0, 1) [1s]
fold 3/47 det=29 defect=(0, 1) [2s]
fold 4/47 det=-71 defect=(0, 1) [2s]
fold 5/47 det=-311 defect=(0, 1) [3s]
fold 6/47 det=229 defect=(0, 1) [3s]
fold 7/47 det=89 defect=(0, 1) [4s]
fold 8/47 det=-11 defect=(0, 1) [5s]
fold 9/47 det=121 defect=(0, 1) [5s]
fold 10/47 det=181 defect=(0, 1) [6s]
fold 11/47 det=649 defect=(0, 1) [7s]
fold 12/47 det=1 defect=(0, 1) [7s]
fold 13/47 det=-551 defect=(0, 1) [8s]
fold 14/47 det=-419 defect=(0, 1) [8s]
fold 15/47 det=-755 defect=(0, 1) [9s]
fold 16/47 det=841 defect=(0, 1) [10s]
fold 17/47 det=1409 defect=(0, 1) [10s]
fold 18/47 det=361 defect=(0, 1) [11s]
fold 19/47 det=461 defect=(0, 1) [12s]
fold 20/47 det=-71 defect=(0, 1) [12s]
fold 21/47 det=1249 defect=(0, 1) [13s]
fold 22/47 det=205 defect=(0, 1) [14s]
fold 23/47 det=205 defect=(0, 1) [14s]
fold 24/47 det=3305 defect=(0, 1) [15s]
fold 25/47 det=121 defect=(0, 1) [15s]
fold 26/47 det=-311 defect=(0, 1) [16s]
fold 27/47 det=709 defect=(0, 1) [17s]
fold 28/47 det=541 defect=(0, 1) [18s]
fold 29/47 det=-719 defect=(0, 1) [18s]
fold 30/47 det=-779 defect=(0, 1) [19s]
fold 31/47 det=-1259 defect=(0, 1) [19s]
fold 32/47 det=1405 defect=(0, 1) [20s]
fold 33/47 det=7505 defect=(0, 1) [20s]
fold 34/47 det=1501 defect=(0, 1) [21s]
fold 35/47 det=769 defect=(0, 1) [22s]
fold 36/47 det=-239 defect=(0, 1) [22s]
fold 37/47 det=-599 defect=(0, 1) [23s]
fold 38/47 det=-319 defect=(0, 1) [24s]
fold 39/47 det=1 defect=(0, 1) [24s]
fold 40/47 det=1705 defect=(0, 1) [25s]
fold 41/47 det=1621 defect=(0, 1) [26s]
fold 42/47 det=-911 defect=(0, 1) [26s]
fold 43/47 det=-1271 defect=(0, 1) [27s]
fold 44/47 det=-1511 defect=(0, 1) [28s]
fold 45/47 det=1249 defect=(0, 1) [28s]
fold 46/47 det=1009 defect=(0, 1) [29s]
fold 47/47 det=-1151 defect=(0, 1) [30s]
DONE
