test_id,geometry,reynolds,velocity,pressure_gradient,expected_regime,hash,simulation_time,entropy_time,total_time,velocity_stats,tree_nodes,tree_depth,navigation_path,path_length,velocity_field_shape,success
2179,channel,2464.285714285714,0.5,-0.25,transition,eee996277560baebc5bba776d7fc39eeba6bab287968fa97ef204efd4c18343a,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3439,cavity,1500.0,1.5,-0.25,laminar,f48d286fc5c37e6d91e65b4c581c543511c6f2aa8f1aea7ef0133b00480f04d3,0.0010221004486083984,0.0,0.0010221004486083984,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2719,channel,17409.116166580472,2.0,-0.25,turbulent,b73fbcee8d31878af710b3c1253fd10aa9f23a6c116a767421fe126a7714d31f,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2609,channel,10892.693033225416,1.0,-0.25,turbulent,d5ecac6554fe395a1cd235cd3ff510802a2900c3c70a19713d85a6c3b48a0359,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2539,channel,7663.09432393553,1.5,-0.25,turbulent,273173fcbbfec79c55335ef27ebd933fca3fe4605c127b83ac6fa65bb28e34fa,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1361,pipe,31284.451574100145,1.5,-0.1,turbulent,53178ba8f7aba5ebb7d94305e474917ab3d183767bd095e30d986843abe74db3,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3142,cavity,558.9473684210526,2.0,-0.15,laminar,9cc2a866d4c4ee1fc5e4abbaf550294688dce3730a2f4ccb6d9f9467d9d6f7f9,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
2623,channel,10892.693033225416,2.5,-0.2,turbulent,a107de6316a996489161af977ffa6147f922db785525dee7e8e031a8c71b4f2f,0.0,0.0009958744049072266,0.0009958744049072266,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2733,channel,19574.338205844306,1.0,-0.2,turbulent,3774062e06ae89c3447383e8a2e96ffeb653e9986f878202af67a59bc0a0e529,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3138,cavity,558.9473684210526,1.5,-0.2,laminar,f8cdddfde9b9cb47ad13beb29ecdeb74870b007e6acdaed8400af34d5eb1b90c,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
