Index,Modulation,Peak Count,FFT Symmetry Score,Peak Positions
2,6.283185307179586,16,4831.368210798035,1;3;5;8;11;14;17;21;23;25;27;30;35;38;40;43
3,9.42477796076938,15,4882.878110239371,2;5;8;10;13;19;21;25;28;30;34;37;39;42;47
5,15.707963267948966,16,4935.348606972445,2;5;7;10;13;16;19;21;23;27;30;32;34;38;40;43
7,21.991148575128552,15,4893.5442686163915,1;3;8;11;15;18;21;23;25;27;31;34;38;41;43
11,34.55751918948772,18,4951.019981015917,1;5;7;10;12;15;18;21;23;25;27;29;32;35;40;43;45;47
4,12.566370614359172,18,4926.610198640813,1;3;6;9;11;13;15;17;19;21;25;27;29;35;39;41;44;46
6,18.84955592153876,13,4898.39202568939,5;8;13;16;21;23;27;30;34;40;42;45;47
8,25.132741228718345,17,4947.977351331796,1;5;8;10;12;16;18;21;23;25;27;30;34;37;40;44;47
9,28.274333882308138,15,4963.510337147221,3;5;7;9;16;18;21;25;28;30;34;37;39;43;47
10,31.41592653589793,16,4891.327000080363,1;4;8;10;13;16;18;21;23;25;27;31;34;40;43;46
