step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,structural_complexity_score,higher_order_dynamics,mathematical_reasoning_consistency,quantum_field_performance,learning_rate,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,cimm_kl_divergence,cimm_jensen_shannon,cimm_wasserstein,cimm_qwcs,cimm_entropy,prediction,actual,mathematical_complexity,reasoning_consistency,higher_order_performance
0,2.1418871879577637,0.32032210412435236,24,0.0,0.5,0.0,0.5,0.5,0.31,0.02,2.1412179470062256,0.006693189963698387,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0,0.0,2.0,0.3192055187188089,"{'pattern_recognition_score': 1.0, 'field_coherence_score': 0.5317805409431458, 'structural_complexity_score': 0.08576559823102484, 'higher_order_dynamics': 1.0, 'mathematical_reasoning_consistency': 0.5, 'quantum_field_performance': 0.6500982548819915}",0.9999993766318673
1,1.2584255933761597,0.3192055187188089,24,0.3133861632926922,0.5,0.0,0.5,0.5,0.3440158489878076,0.02,1.6154732704162598,0.00377200567163527,0.0,tensor(1.),0.7788007855415344,0.0,0.0,0.0,0.5,0,0.0198138,1.5,,,
2,1.0814979076385498,0.3187162829097361,24,0.2787173895549424,0.5,0.0,0.5,0.9999995844211491,0.3836151753085976,0.010767100378870964,1.7390446662902832,0.0001925760880112648,0.0,tensor(1.),0.6218850612640381,0.0,0.0,0.0,0.5,0,0.057982817,1.6666666,,,
3,0.8295617699623108,0.31862301932414994,24,0.30583858522353985,0.5,0.0,0.5,0.9999995374337666,0.3917515293104386,0.0058103520423173904,1.6327921152114868,0.005729081109166145,0.0,tensor(1.),0.5078850984573364,0.0,0.0,0.0,0.5,0,0.09344812,1.6,,,
4,0.6861381530761719,0.31862506306497385,24,0.30856134614218866,0.5,0.0,0.5,0.9999995437474162,0.3925683582173982,0.003136278595775366,1.6197166442871094,0.013325984589755535,0.0,tensor(1.),0.4232679009437561,0.0,0.0,0.0,0.5,0,0.12805426,1.625,,,
5,0.5669626593589783,0.3186433128663339,24,0.32046201864366985,0.5,0.0,0.5,0.999999907587673,0.39613859635186827,0.0016946662217378616,1.5760241746902466,0.02220325730741024,0.0,tensor(1.),0.3592362701892853,0.0,0.0,0.0,0.5,0,0.15919283,1.6153846,,,
6,0.4811725318431854,0.3186580601381138,24,0.32780382277211745,0.5,0.0,0.5,0.9999999372599614,0.3983411405576314,0.0009162978967651725,1.549323320388794,0.03179053217172623,0.0,tensor(1.),0.30993351340293884,0.0,0.0,0.0,0.5,0,0.18705428,1.6190476,,,
7,0.41368716955184937,0.31866819774731997,24,0.3362343266357488,0.5,0.0,0.5,0.9999999985487666,0.4008702978456013,0.0004958073841407895,1.5202205181121826,0.04197416082024574,0.0,tensor(1.),0.2713738679885864,0.0,0.0,0.0,0.5,0,0.21261458,1.617647,,,
8,0.3612655699253082,0.3186743064201437,24,0.34374134101365533,0.5,0.0,0.5,0.999999999604698,0.4031224022645664,0.00026845847605727613,1.4950711727142334,0.05266304314136505,0.0,tensor(1.),0.240789532661438,0.0,0.0,0.0,0.5,0,0.2364568,1.6181818,,,
9,0.31935834884643555,0.3186778173199855,24,0.3513128717770804,0.5,0.0,0.5,0.9999999996046978,0.4053938614935939,0.00014545580779667944,1.4706028699874878,0.06388834863901138,0.0,tensor(1.),0.21622216701507568,0.0,0.0,0.0,0.5,0,0.25913036,1.6179775,,,
10,0.28555166721343994,0.3186797420377843,24,0.9999498128890991,0.5,0.0,0.5,0.9999999998056093,0.4076206388092693,7.886213279562071e-05,1.447377324104309,0.07572566717863083,0.0,tensor(1.),0.1962621957063675,0.0,0.0,0.0,0.5,0,0.2810554,1.6180556,0.3186808440135792,"{'pattern_recognition_score': 0.9937689143207494, 'field_coherence_score': 0.00047157411355368663, 'structural_complexity_score': 0.07423338042207679, 'higher_order_dynamics': 0.9234088063240051, 'mathematical_reasoning_consistency': 0.9999999999738283, 'quantum_field_performance': 0.5516065648550122}",0.9999999991959556
11,0.25785931944847107,0.3186808440135792,24,0.36622187700167574,0.5,0.0,0.5,0.9999999999738283,0.40986656309788555,4.278499181964435e-05,1.4246951341629028,0.08824162185192108,0.0,tensor(1.),0.17987851798534393,0.0,0.0,0.0,0.5,0,0.3025087,1.6180258,,,
12,0.2349315881729126,0.31868143125902865,24,0.37377807978077554,0.5,0.0,0.5,0.9999999999923617,0.41213342393346886,3.00000228889985e-05,1.4024980068206787,0.10149102658033371,0.0,tensor(1.),0.16630592942237854,0.0,0.0,0.0,0.5,0,0.3236708,1.6180371,,,
13,0.2157256156206131,0.31868185829371215,24,0.3814956720797561,0.5,0.0,0.5,0.9999999999979452,0.4144487016237214,3.0000021070009097e-05,1.3805036544799805,0.11557606607675552,0.0,tensor(1.),0.1549684852361679,0.0,0.0,0.0,0.5,0,0.34474504,1.6180328,,,
14,0.19947214424610138,0.31868228957755496,24,0.38942325480301454,0.5,0.0,0.5,0.9999999999993705,0.41682697644084143,3.0000019251019694e-05,1.3585704565048218,0.1305910348892212,0.0,tensor(1.),0.14542712271213531,0.0,0.0,0.0,0.5,0,0.36587626,1.6180345,,,
15,0.18559587001800537,0.3186827002209611,24,0.3975692403048928,0.5,0.0,0.5,0.9999999999996045,0.4192707720914283,3.000001743203029e-05,1.3366745710372925,0.14654327929019928,0.0,tensor(1.),0.13734322786331177,0.0,0.0,0.0,0.5,0,0.38706458,1.6180338,,,
16,0.1736520379781723,0.3186831847182475,24,0.4059377792041457,0.5,0.0,0.5,0.9999999999994778,0.4217813337611915,3.000001743203029e-05,1.3148061037063599,0.16344016790390015,0.0,tensor(1.),0.13045263290405273,0.0,0.0,0.0,0.5,0,0.40831017,1.618034,,,
