step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,structural_complexity_score,higher_order_dynamics,mathematical_reasoning_consistency,quantum_field_performance,learning_rate,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,cimm_kl_divergence,cimm_jensen_shannon,cimm_wasserstein,cimm_qwcs,cimm_entropy,prediction,actual,mathematical_complexity,reasoning_consistency,higher_order_performance
0,1.1420567035675049,0.3364484813529998,28,0.0,0.5,0.0,0.5,0.5,0.4,0.02,1.1412180662155151,0.008386527188122272,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0,0.0,1.0,0.3350349316140637,"{'pattern_recognition_score': 1.0, 'field_coherence_score': 0.5333220362663269, 'structural_complexity_score': 0.1170278684422336, 'higher_order_dynamics': 1.0, 'mathematical_reasoning_consistency': 0.5, 'quantum_field_performance': 0.6567360827550285}",0.9999990009335737
1,0.869597315788269,0.3350349316140637,28,0.5096937632690851,0.5,0.0,0.5,0.5,0.40290812898072553,0.02,1.1160838603973389,0.005011766217648983,0.0,tensor(1.),0.7788007855415344,0.0,0.0,0.0,0.5,0,0.020003175,1.0008,,,
2,0.6787541508674622,0.3340918864938431,28,0.5199100325818902,0.5,0.0,0.5,0.999999333955532,0.45597294317012027,0.010668155737221241,1.0913028717041016,0.0014337797183543444,0.0,tensor(1.),0.6218850612640381,0.0,0.0,0.0,0.5,0,0.040657707,1.0015998,,,
3,0.5460575819015503,0.33379608500981706,28,0.5262183828043443,0.5,0.0,0.5,0.9999990559456182,0.45786542043586514,0.005693736020475626,1.0751088857650757,0.0005077975802123547,0.0,tensor(1.),0.5078850984573364,0.0,0.0,0.0,0.5,0,0.05353096,1.0023996,,,
4,0.45082888007164,0.33368423608480957,28,0.5297432128333811,0.5,0.0,0.5,0.9999989239547841,0.4589228562454928,0.0030398136004805565,1.0649529695510864,0.0016181454993784428,0.0,tensor(1.),0.4232679009437561,0.0,0.0,0.0,0.5,0,0.06101691,1.003199,,,
5,0.38036128878593445,0.3336343706410844,28,0.5315640992243168,0.5,0.0,0.5,0.9999995618398075,0.45946918595127584,0.0016231985064223409,1.0585765838623047,0.0022880251053720713,0.0,tensor(1.),0.3592362701892853,0.0,0.0,0.0,0.5,0,0.065254234,1.0039984,,,
6,0.32691478729248047,0.33360996026312933,28,0.5323877133973959,0.5,0.0,0.5,0.9999996642904126,0.4597162804482601,0.0008668264490552247,1.0545227527618408,0.0026725162751972675,0.0,tensor(1.),0.30993351340293884,0.0,0.0,0.0,0.5,0,0.067604765,1.0047976,,,
7,0.285534143447876,0.33359767748042946,28,0.5326478751093491,0.5,0.0,0.5,0.9999999611456738,0.4597943586473721,0.00046292002662084997,1.0518912076950073,0.002887084148824215,0.0,tensor(1.),0.2713738679885864,0.0,0.0,0.0,0.5,0,0.06889341,1.0055966,,,
8,0.25293681025505066,0.3335912575304974,28,0.5325958291905867,0.5,0.0,0.5,0.9999999934878652,0.45977874810596253,0.00024721823865547776,1.0501471757888794,0.003005430568009615,0.0,tensor(1.),0.240789532661438,0.0,0.0,0.0,0.5,0,0.06959445,1.0063956,,,
9,0.22687815129756927,0.3335879674414173,28,0.5323733368703851,0.5,0.0,0.5,0.9999999985759231,0.45971200091870784,0.00013202274567447603,1.0489755868911743,0.0030699968338012695,0.0,tensor(1.),0.21622216701507568,0.0,0.0,0.0,0.5,0,0.069974415,1.0071943,,,
10,0.2057809680700302,0.3335862997919321,28,0.9999834895133972,0.5,0.0,0.5,0.9999999996457063,0.45961755449185876,7.050288695609197e-05,1.0481897592544556,0.0031050359830260277,0.0,tensor(1.),0.1962621957063675,0.0,0.0,0.0,0.5,0,0.07018024,1.0079929,0.33358542695059445,"{'pattern_recognition_score': 0.999965902867212, 'field_coherence_score': 2.5404211233172653e-07, 'structural_complexity_score': 0.047495018561758216, 'higher_order_dynamics': 0.9933357834815979, 'mathematical_reasoning_consistency': 0.9999999999752793, 'quantum_field_performance': 0.5584892056028109}",0.9999999743514862
11,0.18851082026958466,0.33358542695059445,28,0.5316941168931754,0.5,0.0,0.5,0.9999999999752793,0.4595082350654806,3.764893699553795e-05,1.0476771593093872,0.0031240370590239763,0.0,tensor(1.),0.17987851798534393,0.0,0.0,0.0,0.5,0,0.07029205,1.0087912,,,
12,0.17423559725284576,0.33358497855369934,28,0.5313031609043432,0.5,0.0,0.5,0.9999999999940044,0.4593909482707034,3.0000070182722993e-05,1.047367811203003,0.0031343894079327583,0.0,tensor(1.),0.16630592942237854,0.0,0.0,0.0,0.5,0,0.07035328,1.0095894,,,
13,0.16233180463314056,0.33358461868483574,28,0.5309063280580398,0.5,0.0,0.5,0.9999999999985785,0.45927189841726984,3.0000066544744186e-05,1.0472006797790527,0.003142720088362694,0.0,tensor(1.),0.1549684852361679,0.0,0.0,0.0,0.5,0,0.07040277,1.0103875,,,
14,0.15232914686203003,0.33358427592902445,28,0.5305100036860437,0.5,0.0,0.5,0.9999999999995923,0.45915300110577234,3.000006290676538e-05,1.0471452474594116,0.003151048207655549,0.0,tensor(1.),0.14542712271213531,0.0,0.0,0.0,0.5,0,0.07045241,1.0111854,,,
15,0.1438673585653305,0.3335839983774349,28,0.5301140025866147,0.5,0.0,0.5,0.9999999999997371,0.45903420077595813,3.0000059268786572e-05,1.0471864938735962,0.0031593649182468653,0.0,tensor(1.),0.13734322786331177,0.0,0.0,0.0,0.5,0,0.07050216,1.0119833,,,
16,0.13666580617427826,0.333583690749947,28,0.5297185086132693,0.5,0.0,0.5,0.9999999999996811,0.45891555258394895,3.0000055630807765e-05,1.0473110675811768,0.0031676648650318384,0.0,tensor(1.),0.13045263290405273,0.0,0.0,0.0,0.5,0,0.07055201,1.0127808,,,
17,0.13050377368927002,0.33358342433930377,28,0.5293233538167297,0.5,0.0,0.5,0.99999999999975,0.4587970061449939,3.000005381181836e-05,1.0475082397460938,0.0031759466510266066,0.0,tensor(1.),0.12454719841480255,0.0,0.0,0.0,0.5,0,0.07060195,1.0135783,,,
18,0.12520572543144226,0.3335831511707511,28,0.5289286213757175,0.5,0.0,0.5,0.9999999999997775,0.45867858641269305,3.0000050173839554e-05,1.0477683544158936,0.003184207249432802,0.0,tensor(1.),0.11946121603250504,0.0,0.0,0.0,0.5,0,0.07065196,1.0143756,,,
19,0.12063100188970566,0.33358291843323973,28,0.5285342940686375,0.5,0.0,0.5,0.9999999999997935,0.4585602882205706,3.000004835485015e-05,1.048083782196045,0.0031924457289278507,0.0,tensor(1.),0.1150616705417633,0.0,0.0,0.0,0.5,0,0.070702046,1.0151727,,,
20,0.11666569113731384,0.33358267794828866,28,1.0,0.5,0.0,0.5,0.9999999999998113,0.4584421114198899,3.000001197506208e-05,1.0484472513198853,0.0032006604596972466,0.0,tensor(1.),0.11124077439308167,0.0,0.0,0.0,0.5,0,0.07075219,1.0159696,0.3335824529465754,"{'pattern_recognition_score': 0.9999264731149323, 'field_coherence_score': 1.9052756965038466e-07, 'structural_complexity_score': 0.047173315574996134, 'higher_order_dynamics': 0.993220329284668, 'mathematical_reasoning_consistency': 0.9999999999998574, 'quantum_field_performance': 0.5583957020740573}",0.9999999999992895
21,0.11321697384119034,0.3335824529465754,28,0.5277468196719538,0.5,0.0,0.5,0.9999999999998574,0.4583240459015719,3.000000106112566e-05,1.0488532781600952,0.0032088514417409897,0.0,tensor(1.),0.10791055858135223,0.0,0.0,0.0,0.5,0,0.07080238,1.0167664,,,
