step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,structural_complexity_score,higher_order_dynamics,mathematical_reasoning_consistency,quantum_field_performance,learning_rate,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,cimm_kl_divergence,cimm_jensen_shannon,cimm_wasserstein,cimm_qwcs,cimm_entropy,prediction,actual,mathematical_complexity,reasoning_consistency,higher_order_performance
0,2.066124200820923,0.4874013270251453,32,1.0,0.5,0.0,0.5,0.5,0.31376141035976374,0.02,2.066066026687622,0.0005817101337015629,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0,0.07515195,2.0,0.4871847126632929,"{'pattern_recognition_score': 0.9951541014814357, 'field_coherence_score': 0.0003521162996624582, 'structural_complexity_score': 0.12504926372352923, 'higher_order_dynamics': 0.9419054388999939, 'mathematical_reasoning_consistency': 0.5, 'quantum_field_performance': 0.5149299280990512}",0.999999976535055
1,2.9839372634887695,0.4871847126632929,32,0.06852375566350105,0.5,0.0,0.5,0.5,0.2705571266990503,0.02,3.82222056388855,0.09230554103851318,0.0,tensor(1.),0.7788007855415344,0.0,0.0,0.0,0.5,0,0.31306654,4.0,,,
2,0.842859148979187,0.4875557291321457,32,0.42885066230335417,0.5,0.0,0.5,0.999999984356702,0.4286551971266765,0.010378731414675713,1.2844033241271973,0.7092618942260742,0.0,tensor(1.),0.6218850612640381,0.0,0.0,0.0,0.5,0,0.8459575,2.0,,,
3,1.640423059463501,0.48794126156717543,32,0.09967206133688711,0.5,0.0,0.5,0.99999996724661,0.32990161512572713,0.0052324808202683926,3.131718873977661,0.9819107055664062,0.0,tensor(1.),0.5078850984573364,0.0,0.0,0.0,0.5,0,0.9945213,4.0,,,
4,2.1237568855285645,0.48815391613170506,32,0.04268680116369993,0.5,0.0,0.5,0.9999999011018614,0.3128060304592961,0.002624709624797106,4.85842752456665,1.5909663438796997,0.0,tensor(1.),0.4232679009437561,0.0,0.0,0.0,0.5,0,1.2643433,6.0,,,
5,0.26606321334838867,0.48826422393321994,41,0.8914193530510502,0.5,0.0,0.5,0.9999998074772749,0.5674257866630426,0.0014160845894366503,0.46884027123451233,2.7179551124572754,0.0,tensor(1.),0.3592362701892853,0.0,0.0,0.0,0.5,0,1.6509922,2.0,,,
6,1.5056753158569336,0.5124546829145402,41,0.046597678363961885,0.5,0.0,0.5,0.9999998007564386,0.31397928358483246,0.0050008902326226234,4.6406354904174805,2.174233913421631,0.0,tensor(1.),0.30993351340293884,0.0,0.0,0.0,0.5,0,1.4766939,6.0,,,
7,0.6535215973854065,0.512501702317968,41,0.2324420210305435,0.5,0.0,0.5,0.9998801272825328,0.3697206190374164,0.002543224487453699,1.932369351387024,4.758272171020508,0.0,tensor(1.),0.2713738679885864,0.0,0.0,0.0,0.5,0,2.1828187,4.0,,,
8,0.16168957948684692,0.5125268187839538,41,0.9874969164110617,0.5,0.0,0.5,0.9998220184096871,0.5962312767642872,0.0013792848912999034,0.22586895525455475,4.45628547668457,0.0,tensor(1.),0.240789532661438,0.0,0.0,0.0,0.5,0,2.1125228,2.0,,,
9,0.5653948783874512,0.5125268187839538,41,0.17540049595349355,0.5,0.0,0.5,0.9998230958439245,0.3526024583704405,0.0006976753356866539,2.27998948097229,3.3488996028900146,0.0,tensor(1.),0.21622216701507568,0.0,0.0,0.0,0.5,0,1.8317661,4.0,,,
10,0.8863502740859985,0.5125340089201927,41,0.9904146194458008,0.5,0.0,0.5,0.9998825141540316,0.3175468719141245,0.00034925772342830896,4.121066093444824,3.9508769512176514,0.0,tensor(1.),0.1962621957063675,0.0,0.0,0.0,0.5,0,1.9893112,6.0,0.5125374184921384,"{'pattern_recognition_score': 0.8928466042229626, 'field_coherence_score': 0.009855992011663234, 'structural_complexity_score': 0.1410679671149375, 'higher_order_dynamics': 0.7796943783760071, 'mathematical_reasoning_consistency': 0.9999999998040767, 'quantum_field_performance': 0.5154857294296008}",0.9998394711169009
11,0.8076621294021606,0.5125374184921384,41,0.05969013473566046,0.5,0.0,0.5,0.9999999998040767,0.31790704040110584,0.00017487103468738496,4.078206539154053,4.118356227874756,0.0,tensor(1.),0.17987851798534393,0.0,0.0,0.0,0.5,0,2.0309715,6.0,,,
12,0.16939298808574677,0.5125391161534936,41,0.8875168359609553,0.5,0.0,0.5,0.9999999999711298,0.5662550507853996,9.406208846485242e-05,0.46413612365722656,5.544264316558838,0.0,tensor(1.),0.16630592942237854,0.0,0.0,0.0,0.5,0,2.3560045,2.0,,,
13,0.6732451319694519,0.5125391161534936,41,0.06751757325753541,0.5,0.0,0.5,0.9999999999758877,0.32025527197484943,4.712317604571581e-05,3.8235256671905518,5.2087483406066895,0.0,tensor(1.),0.1549684852361679,0.0,0.0,0.0,0.5,0,2.2836902,6.0,,,
14,0.32002031803131104,0.5125396011397243,41,0.325706751448859,0.5,0.0,0.5,0.9999999999957216,0.39771202543422984,3.001578625116963e-05,1.5452474355697632,6.553071975708008,0.0,tensor(1.),0.14542712271213531,0.0,0.0,0.0,0.5,0,2.5611649,4.0,,,
15,0.10397332161664963,0.5125398607924581,41,0.9693802186276127,0.5,0.0,0.5,0.9999999999989271,0.5908140655881765,3.001534969371278e-05,0.28343263268470764,4.736001491546631,0.0,tensor(1.),0.13734322786331177,0.0,0.0,0.0,0.5,0,2.1777272,2.0,,,
16,0.5967106819152832,0.5125398607924581,41,0.05578704629824312,0.5,0.0,0.5,0.9999999999990878,0.3167361138893817,3.0014900403330103e-05,4.219120025634766,3.550358772277832,0.0,tensor(1.),0.13045263290405273,0.0,0.0,0.0,0.5,0,1.8859621,6.0,,,
17,0.29154932498931885,0.5125401660334319,41,0.2537814261676034,0.5,0.0,0.5,0.9999999999998455,0.3761344278502656,3.0014449293958023e-05,1.8192909955978394,5.2158308029174805,0.0,tensor(1.),0.12454719841480255,0.0,0.0,0.0,0.5,0,2.285241,4.0,,,
18,0.5380749106407166,0.5125404673162848,41,0.058787298916878374,0.5,0.0,0.5,0.9999999999998384,0.3176361896750473,3.001400727953296e-05,4.105354309082031,3.9882681369781494,0.0,tensor(1.),0.11946121603250504,0.0,0.0,0.0,0.5,0,1.9986905,6.0,,,
19,0.7210329174995422,0.5125407446641476,41,0.031161681535422245,0.5,0.0,0.5,0.9999999999998961,0.3093485044606163,3.001357617904432e-05,5.679515838623047,5.869749546051025,0.0,tensor(1.),0.1150616705417633,0.0,0.0,0.0,0.5,0,2.4240968,8.0,,,
20,0.2228367030620575,0.5125410717912019,41,0.9921870231628418,0.5,0.0,0.5,0.999999999999849,0.4497706111892835,3.0012055503902957e-05,1.1047602891921997,8.984323501586914,0.0,tensor(1.),0.11124077439308167,0.0,0.0,0.0,0.5,0,2.9984696,4.0,0.5125413510017097,"{'pattern_recognition_score': 0.6986942649069816, 'field_coherence_score': 0.013779818619632732, 'structural_complexity_score': 0.1412304926430993, 'higher_order_dynamics': 0.6956608891487122, 'mathematical_reasoning_consistency': 0.999999999999778, 'quantum_field_performance': 0.4456484660279072}",0.9999999999993965
21,0.17924199998378754,0.5125413510017097,53,0.6194357052882705,0.5,0.0,0.5,0.999999999999778,0.48583071158645896,3.0010152840986848e-05,0.8867084980010986,7.743152141571045,0.0,tensor(1.),0.10791055858135223,0.0,0.0,0.0,0.5,0,2.7838192,2.0,,,
22,0.23205432295799255,0.537729635136202,53,0.3176064898492554,0.5,0.0,0.5,0.999999999999849,0.3952819469547615,0.005083124618977308,1.568379521369934,6.4168901443481445,0.0,tensor(1.),0.10499870032072067,0.0,0.0,0.0,0.5,0,2.5342066,4.0,,,
23,0.12465622276067734,0.5378092961851507,53,0.8042458765192877,0.5,0.0,0.5,0.9998731240826897,0.5412610753640552,0.002707634586840868,0.5956728458404541,6.211352825164795,0.0,tensor(1.),0.10244525969028473,0.0,0.0,0.0,0.5,0,2.4933567,2.0,,,
24,0.2687637209892273,0.5378092961851507,53,0.16045047125945103,0.5,0.0,0.5,0.9998090968422457,0.3481160510620599,0.0012607770040631294,2.389530658721924,2.927332878112793,0.0,tensor(1.),0.10020032525062561,0.0,0.0,0.0,0.5,0,1.7125443,4.0,,,
25,1.2329869270324707,0.5378290885593743,53,0.0068004720982033995,0.5,0.0,0.5,0.9998088970625809,0.3020210313357191,0.0006232443847693503,12.186918258666992,3.661484956741333,0.0,tensor(1.),0.09822196513414383,0.0,0.0,0.0,0.5,0,1.9149425,14.0,,,
26,0.17203320562839508,0.537838426604867,53,0.891222387906602,0.5,0.0,0.5,0.9998724721772472,0.5673539635897054,0.0003275263588875532,0.4510311484336853,13.321609497070312,0.0,tensor(1.),0.09647485613822937,0.0,0.0,0.0,0.5,0,3.6506371,4.0,,,
27,0.36275216937065125,0.537838426604867,53,0.13942253867581456,0.5,0.0,0.5,0.9999999981503862,0.341826761417783,0.0001500612561358139,2.5859363079071045,12.353621482849121,0.0,tensor(1.),0.0949290320277214,0.0,0.0,0.0,0.5,0,3.5155602,6.0,,,
28,0.41054776310920715,0.5378405298572034,53,0.1506879227820967,0.5,0.0,0.5,0.9999999997829825,0.3452063768129272,7.428944809362292e-05,2.4754178524017334,19.126985549926758,0.0,tensor(1.),0.09355899691581726,0.0,0.0,0.0,0.5,0,4.374075,2.0,,,
29,0.7227815389633179,0.5378404579125345,53,0.023086713620266257,0.5,0.0,0.5,0.9999999998313838,0.30692601406921827,3.674116305774078e-05,6.606200218200684,12.209515571594238,0.0,tensor(1.),0.09234285354614258,0.0,0.0,0.0,0.5,0,3.4950051,10.0,,,
30,0.24743248522281647,0.5378404639661313,53,0.9840013980865479,0.5,0.0,0.5,0.9999999999774296,0.3982942857577831,3.001664845214691e-05,1.533583641052246,11.776517868041992,0.0,tensor(1.),0.09126189351081848,0.0,0.0,0.0,0.5,0,3.432501,2.0,0.5378401754889638,"{'pattern_recognition_score': 0.706254652425736, 'field_coherence_score': 0.011038250145979334, 'structural_complexity_score': 0.12879755437847284, 'higher_order_dynamics': 0.73774254322052, 'mathematical_reasoning_consistency': 0.9999999999991589, 'quantum_field_performance': 0.45105685062290407}",0.9999999987999364
31,0.3683928847312927,0.5378401754889638,53,0.08951903291961492,0.5,0.0,0.5,0.9999999999991589,0.32685570987580037,3.0016819437150843e-05,3.290142774581909,7.895216941833496,0.0,tensor(1.),0.0902998074889183,0.0,0.0,0.0,0.5,0,2.8108294,6.0,,,
32,0.3496948778629303,0.5378400108311325,53,0.1161192514201014,0.5,0.0,0.5,0.9999999999999689,0.33483577542602727,3.001665390911512e-05,2.8598289489746094,10.498823165893555,0.0,tensor(1.),0.08944263309240341,0.0,0.0,0.0,0.5,0,3.2410443,6.0,,,
33,0.16596853733062744,0.5378398485947401,53,0.7047347784319826,0.5,0.0,0.5,0.9999999999999556,0.5114204335295903,3.001615004905034e-05,0.7480663061141968,11.235177040100098,0.0,tensor(1.),0.08867811411619186,0.0,0.0,0.0,0.5,0,3.3527184,4.0,,,
34,0.3591867983341217,0.5378398485947401,68,0.08923146598502228,0.5,0.0,0.5,0.9999999999999343,0.3267694397955001,3.0015311494935304e-05,3.2955145835876465,7.86354923248291,0.0,tensor(1.),0.08799565583467484,0.0,0.0,0.0,0.5,0,2.8051903,6.0,,,
