step,adaptation_signal,complexity_metric,neurons,pattern_recognition_score,field_coherence_score,structural_complexity_score,higher_order_dynamics,mathematical_reasoning_consistency,quantum_field_performance,learning_rate,qbe_balance,energy_balance,coherence_loss,einstein_correction,feynman_damping,cimm_kl_divergence,cimm_jensen_shannon,cimm_wasserstein,cimm_qwcs,cimm_entropy,prediction,actual,mathematical_complexity,reasoning_consistency,higher_order_performance
0,1.1420222520828247,0.32890528403222563,26,0.0,0.5,0.0,0.5,0.5,0.4,0.02,1.1412180662155151,0.008041562512516975,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0,0.0,1.0,0.327502035163343,"{'pattern_recognition_score': 1.0, 'field_coherence_score': 0.5325809717178345, 'structural_complexity_score': 0.10872088585097525, 'higher_order_dynamics': 1.0, 'mathematical_reasoning_consistency': 0.5, 'quantum_field_performance': 0.6548894200996537}",0.9999990154564701
1,0.8617529273033142,0.327502035163343,26,0.5148130429121848,0.5,0.0,0.5,0.5,0.40444391287365544,0.02,1.1060870885849,0.004256033804267645,0.0,tensor(1.),0.7788007855415344,0.0,0.0,0.0,0.5,0,0.029199969,1.0,,,
2,0.6534340381622314,0.3271769939688966,26,0.5415182126365555,0.5,0.0,0.5,0.9999993436373744,0.4624553981547041,0.010708730667829514,1.050502061843872,0.0022915336303412914,0.0,tensor(1.),0.6218850612640381,0.0,0.0,0.0,0.5,0,0.07985872,1.0,,,
3,0.5104008316993713,0.3271376037271694,26,0.5650555767795291,0.5,0.0,0.5,0.9999994052914885,0.4695166135630076,0.005745695438235998,1.0035871267318726,0.013662261888384819,0.0,tensor(1.),0.5078850984573364,0.0,0.0,0.0,0.5,0,0.13263649,1.0099833,,,
4,0.410789430141449,0.32716553709469737,26,0.5835182578136687,0.5,0.0,0.5,0.9999994735775246,0.47505542470185314,0.0030878286343067884,0.9676036834716797,0.029150057584047318,0.0,tensor(1.),0.4232679009437561,0.0,0.0,0.0,0.5,0,0.18202244,1.0268552,,,
5,0.3405338525772095,0.32719555015210067,26,0.5960037745590838,0.5,0.0,0.5,0.9999999647050982,0.47880112883823495,0.0016612779581919312,0.943143904209137,0.04794466495513916,0.0,tensor(1.),0.3592362701892853,0.0,0.0,0.0,0.5,0,0.22803426,1.0513457,,,
6,0.29354622960090637,0.32719555015210067,26,0.5959113061534926,0.5,0.0,0.5,0.9999999773639475,0.47877338958244253,0.0008937817183323205,0.9407994151115417,0.06327022612094879,0.0,tensor(1.),0.30993351340293884,0.0,0.0,0.0,0.5,0,0.25947097,1.0829405,,,
7,0.25882068276405334,0.32719555015210067,26,0.5918122417733355,0.5,0.0,0.5,0.9999999994162274,0.4775436724736234,0.0004806934157386422,0.9456848502159119,0.08057230710983276,0.0,tensor(1.),0.2713738679885864,0.0,0.0,0.0,0.5,0,0.29090765,1.1214045,,,
8,0.23291969299316406,0.32719555015210067,26,0.5840060292790127,0.5,0.0,0.5,0.999999999321828,0.4752018087158867,0.000258351385127753,0.9573314189910889,0.09985093027353287,0.0,tensor(1.),0.240789532661438,0.0,0.0,0.0,0.5,0,0.32234436,1.1663296,,,
9,0.21348892152309418,0.32719555015210067,26,0.5728624578600501,0.5,0.0,0.5,0.9999999998198683,0.4718587373400019,0.00013871748524252325,0.9752485156059265,0.1211060956120491,0.0,tensor(1.),0.21622216701507568,0.0,0.0,0.0,0.5,0,0.35378107,1.2172738,,,
10,0.19862329959869385,0.32719715088605883,26,0.9998970031738281,0.5,0.0,0.5,1.0,0.467882156388866,7.439567707479e-05,0.9974892139434814,0.14541152119636536,0.0,tensor(1.),0.1962621957063675,0.0,0.0,0.0,0.5,0,0.38661405,1.2737261,0.3271981647470966,"{'pattern_recognition_score': 0.9755138754321199, 'field_coherence_score': 0.003107545878978094, 'structural_complexity_score': 0.08425161821002287, 'higher_order_dynamics': 0.862775444984436, 'mathematical_reasoning_consistency': 0.9999999999985281, 'quantum_field_performance': 0.5396976894889032}",0.9999999996035454
11,0.18751311302185059,0.3271981647470966,26,0.5436953763641225,0.5,0.0,0.5,0.9999999999985281,0.46310861290908956,3.984349677921273e-05,1.0252922773361206,0.17150728404521942,0.0,tensor(1.),0.17987851798534393,0.0,0.0,0.0,0.5,0,0.41900897,1.3351232,,,
